# revolver probe 797

Trent	Hammer	Powder	Bullet
1	1	3	7
5	6	2	4
5	7	4	7
6	1	1	5
6	2	2	2
6	2	2	6
6	3	3	7
6	4	4	6
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	1
7	1	1	4
7	1	1	4
7	1	1	7
7	1	1	7
7	1	1	7
7	1	1	7
7	1	1	7
7	1	1	7
7	1	1	7
7	1	1	7
7	2	2	4
7	2	2	6
7	2	2	7
7	2	2	7
7	4	4	4
7	4	4	4
7	4	4	4
7	4	4	7
7	4	4	7
7	5	2	7
7	6	6	6
7	7	4	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
